exchange,symbol,instrument_token
NSE,NIFTY DIV OPPS 50,257033
NSE,NI15,258569
NSE,NI15,258569
NSE,NIFTY IT,259849
NSE,NIFTY IT,259849
NSE,NIFTY COMMODITIES,257289
NSE,NIFTY COMMODITIES,257289
NSE,NIFTY INFRA,261385
NSE,NIFTY INFRA,261385
NSE,NIFTY MIDCAP 100,256777
NSE,NIFTY MIDCAP 100,256777
NSE,NIFTY 100,260617
NSE,NIFTY 100,260617
NSE,NIFTY FMCG,261897
NSE,NIFTY FMCG,261897
NSE,ARCHIDPLY,4299521
NSE,ALPA,3801089
NSE,AKASH-SM,5081345
NSE,AHLADA-SM,1243905
NSE,AGRITECH,2834433
NSE,ABGSHIP-BZ,5004801
NSE,VADILALIND,6194177
NSE,JBFIND,442625
NSE,RADICO,2813441
NSE,GANGESSECU,5478145
NSE,AMDIND,3685889
NSE,AMBUJACEM,325121
NSE,759GS2026-GS,1827585
NSE,74GS2035-GS,1759745
NSE,20MICRONS,4331777
NSE,116GS2020-GS,1744385
NSE,107GS2020-GS,1744129
NSE,737GS2023-GS,1846785
NSE,63MOONS,3038209
NSE,735GS2024-GS,1775617
NSE,AMBIKCO,3899905
NSE,ACC,5633
NSE,833GS2032-GS,1772033
NSE,833GS2026-GS,1796865
NSE,ABSLNN50ET,1878785
NSE,A2ZINFRA,5351937
NSE,ABNINT-IT,2198529
NSE,AMBER,303361
NSE,AHLWEST,4957697
NSE,ADLABS,1964033
NSE,AHLUCONT,4565249
NSE,AMBANIORG-SM,1045249
NSE,ALANKIT,2539777
NSE,AMARAJABAT,25601
NSE,GANGAFORGE-SM,1012481
NSE,COMPINFO,4513793
NSE,BEARDSELL,4590849
NSE,ACCURACY-SM,931585
NSE,ATLANTA,3477761
NSE,ARIHANTSUP,5160705
NSE,APCL,5235969
NSE,ARIHANT,3554561
NSE,ATFL,425729
NSE,ASHIANA,6247169
NSE,ASTRON,223745
NSE,BDR-IT,1099265
NSE,BAJAJHLDNG,78081
NSE,AVG-SM,670977
NSE,BDL,548865
NSE,BANKA-SM,390657
NSE,BCONCEPTS-SM,256513
NSE,COLPAL,3876097
NSE,78GS2021-GS,1791489
NSE,828GS2027-GS,1771777
NSE,86GS2028-GS,1814529
NSE,ABBOTINDIA,4583169
NSE,ADANIENT,6401
NSE,AEGISCHEM,10241
NSE,AIONJSW,1195777
NSE,ALLSEC,3020289
NSE,ANDHRACEMT,5227265
NSE,APOLLOHOSP,40193
NSE,ASIANTILES,3811585
NSE,ATULAUTO,7685889
NSE,BAJAJELEC,3848705
NSE,BAYERCROP,4589313
NSE,BETA-SM,20737
NSE,BHARATWIRE,4127489
NSE,BKMINDST,1906177
NSE,BOSCHLTD,558337
NSE,BSLNIFTY,6343937
NSE,CAPTRUST-BE,4979457
NSE,CEATLTD,3905025
NSE,CONSOFINVT,3003137
NSE,CRISIL,193793
NSE,CYBERMEDIA,3031553
NSE,DEEPAKNTR,5105409
NSE,DHANBANK,2907905
NSE,DHFL-NE,4686849
NSE,DHFL-NZ,866049
NSE,DYNPRO,5456385
NSE,ECLFINANCE-NB,1816321
NSE,ECLFINANCE-NQ,2040833
NSE,EICHERMOT,232961
NSE,ERFLNCDI-N6,577025
NSE,FELIX-SM,146689
NSE,GALAXYSURF,336641
NSE,GEMINI-BZ,1171201
NSE,GIPCL,293121
NSE,GLOBUSSPR,4460545
NSE,GRAVITA,5256705
NSE,GSS,3928833
NSE,HIL,372481
NSE,HINDZINC,364545
NSE,HOTELRUGBY-BE,2653697
NSE,HUDCO-ND,5111809
NSE,IBUCCREDIT-NA,1261057
NSE,IBULHSGFIN-NB,4769281
NSE,ICICI0101-NB,2488833
NSE,ICICINXT50,1159425
NSE,IDFCBANK-N5,2765313
NSE,IIFCL-N2,5133825
NSE,INDIACEM,387841
NSE,INDOTHAI,6555649
NSE,INFRABEES,5138433
NSE,IRFC-N3,7506177
NSE,IRFC-NI,3008257
NSE,IVC,1718017
NSE,JAINSTUDIO-BE,2125569
NSE,JINDALPOLY,449537
NSE,JKTYRE,3695361
NSE,JSWSTEEL,3001089
NSE,KAKATCEM,463617
NSE,KIRLOSBROS,4756737
NSE,KSB,498945
NSE,LAKPRE-BZ,1222145
NSE,LGBBROSLTD,4690177
NSE,LOVABLE,5738241
NSE,MANAPPURAM-NK,1457921
NSE,MARICO,1041153
NSE,MAZDA,4829697
NSE,METKORE-BE,4292353
NSE,MITCON-SM,8054017
NSE,MONTECARLO,1520129
NSE,MRO-IT,1313281
NSE,NAHARCAP,3932161
NSE,NBVENTURES,1027585
NSE,NEWGEN,297985
NSE,NHAI-N7,3058945
NSE,NHPC,4454401
NSE,NIFTYEES,2319105
NSE,NOIDATOLL,2761217
NSE,NTPC-N6,8132609
NSE,ORIENTALTL,3672577
NSE,PAGEIND,3689729
NSE,PATELENG,2994945
NSE,PENINLAND,577537
NSE,PGEL,6491649
NSE,PITTIENG,3618305
NSE,PRECOT,694017
NSE,RAJRAYON-BZ,1879297
NSE,RANEHOLDIN,728065
NSE,RECLTD-N6,7931905
NSE,RELCNX100,7571713
NSE,REVATHI,3062017
NSE,RKEC-SM,5602817
NSE,ROLTA,747009
NSE,SAKSOFT,3019265
NSE,SANGHVIMOV,3598849
NSE,SBIN-N2,5253121
NSE,SEPOWER,6989569
NSE,SGBJAN26-GB,241921
NSE,SGBOCT25IV-GB,77825
NSE,SHARDAMOTR,2695681
NSE,SILLYMONKS-SM,273153
NSE,SKML-SM,5569537
NSE,SOMATEX,1075457
NSE,SPARC,3785729
NSE,SREIBNPNCD-NH,4993025
NSE,SREIBNPNCD-NR,5510913
NSE,SREINFRA-NW,4791041
NSE,SREINFRA-YB,5135361
NSE,SRTRANSFIN-YL,256257
NSE,STAR,1887745
NSE,SUMEETINDS,5322241
NSE,SUNTV,3431425
NSE,SWANENERGY,6936321
NSE,TANTIACONS-BE,3916033
NSE,TATAPOWER,877057
NSE,TCFSL-NA,1284353
NSE,TFCILTD,887297
NSE,TIJARIA,6523393
NSE,TODAYS-BZ,617985
NSE,TRENT,502785
NSE,UCOBANK,2873089
NSE,UNIENTER,2891009
NSE,UTINIFTETF,2690817
NSE,VARDMNPOLY,933377
NSE,VINYLINDIA,4306177
NSE,VOLTAS,951809
NSE,WELINV,5068801
NSE,WOCKPHARMA,1921537
NSE,ZODIACLOTH,978177
NSE,BIRLACABLE,122113
NSE,BHANDARI,5006337
NSE,BIOFILCHEM-BE,2023169
NSE,BSELINFRA,2469633
NSE,ZEEMEDIA,3584769
NSE,WELSPUNIND,2880769
NSE,WANBURY-BE,3601153
NSE,VINDHYATEL,945665
NSE,VIJAYABANK,2426625
NSE,BLUEDART-N3,1437953
NSE,UCL-SM,1078273
NSE,TTKPRESTIG,907777
NSE,TORNTPHARM,900609
NSE,TIRUPATIFL-SM,17921
NSE,TEXRAIL,5587969
NSE,TECHIN-BE,6449665
NSE,TCFSL-NE,1294337
NSE,TATAMTRDVR,4343041
NSE,SUTLEJTEX,3533057
NSE,SUPREMEENG-SM,1181953
NSE,SUNCLAYLTD,7426049
NSE,STEELXIND,5462785
NSE,SRTRANSFIN-YM,452865
NSE,SRSLTD-BZ,1229313
NSE,SREINFRA-Y1,4793089
NSE,SREIBNPNCD-NG,4992513
NSE,SREEL,8150273
NSE,SOUTHWEST-SM,370433
NSE,SIRCA-SM,818689
NSE,SICAGEN,4320001
NSE,SHREEPUSHK,2710529
NSE,SHARIABEES,4363265
NSE,SGBNOV26-GB,1626881
NSE,SETFNIFBK,1884417
NSE,SCHNEIDER,7995905
NSE,SATIN,2675969
NSE,SANDESH,764929
NSE,SADBHAV,3388417
NSE,RSSOFTWARE,1645825
NSE,RMCL,3863809
NSE,RELAXO,6201601
NSE,RECLTD-NE,752897
NSE,RCOM,3375873
NSE,RAMGOPOLY-BE,2573569
NSE,RADIOCITY,5088513
NSE,PROZONINTU,7387905
NSE,PRECAM,3226369
NSE,PONNIERODE,2729217
NSE,PILITA-BE,7894529
NSE,PETRONENGG,1002241
NSE,PATSPINLTD,662785
NSE,PANSARI-SM,4806657
NSE,ORIENTLTD,4661249
NSE,ONEPOINT-SM,210945
NSE,OBEROIRLTY,5181953
NSE,NTPC-N1,8130049
NSE,NILKAMAL,619777
NSE,NHBTF2023-N2,449025
NSE,NHAI-NB,3711233
NSE,NBIFIN,4892417
NSE,NAGREEKCAP,3825153
